Source,Target,Weight,Type
O'Brian_Master and Commander_1970,O'Brian_Post Captain_1972,147,undirected
O'Brian_Master and Commander_1970,O'Brian_H.M.S. Surprise_1973,120,undirected
O'Brian_Master and Commander_1970,O'Brian_The Mauritius Command_1977,28,undirected
O'Brian_Master and Commander_1970,O'Brian_The Fortune of War_1979,8,undirected
O'Brian_Post Captain_1972,O'Brian_Master and Commander_1970,147,undirected
O'Brian_Post Captain_1972,O'Brian_H.M.S. Surprise_1973,180,undirected
O'Brian_Post Captain_1972,O'Brian_The Mauritius Command_1977,1,undirected
O'Brian_Post Captain_1972,O'Brian_Desolation Island_1977,1,undirected
O'Brian_Post Captain_1972,O'Brian_The Fortune of War_1979,52,undirected
O'Brian_Post Captain_1972,Brontë_Jane Eyre_1847,18,undirected
O'Brian_Post Captain_1972,Heyer_The Black Moth_1921,56,undirected
O'Brian_H.M.S. Surprise_1973,O'Brian_Master and Commander_1970,120,undirected
O'Brian_H.M.S. Surprise_1973,O'Brian_Post Captain_1972,180,undirected
O'Brian_H.M.S. Surprise_1973,O'Brian_The Mauritius Command_1977,32,undirected
O'Brian_H.M.S. Surprise_1973,O'Brian_Desolation Island_1977,60,undirected
O'Brian_H.M.S. Surprise_1973,O'Brian_The Fortune of War_1979,12,undirected
O'Brian_H.M.S. Surprise_1973,Brontë_Jane Eyre_1847,5,undirected
O'Brian_H.M.S. Surprise_1973,Sabatini_The Sea Hawk_1915,1,undirected
O'Brian_H.M.S. Surprise_1973,Heyer_The Black Moth_1921,4,undirected
O'Brian_The Mauritius Command_1977,O'Brian_Master and Commander_1970,28,undirected
O'Brian_The Mauritius Command_1977,O'Brian_Post Captain_1972,1,undirected
O'Brian_The Mauritius Command_1977,O'Brian_H.M.S. Surprise_1973,32,undirected
O'Brian_The Mauritius Command_1977,O'Brian_Desolation Island_1977,147,undirected
O'Brian_The Mauritius Command_1977,O'Brian_The Fortune of War_1979,113,undirected
O'Brian_The Mauritius Command_1977,Sabatini_Captain Blood_1922,37,undirected
O'Brian_The Mauritius Command_1977,Sabatini_The Sea Hawk_1915,4,undirected
O'Brian_Desolation Island_1977,O'Brian_Post Captain_1972,1,undirected
O'Brian_Desolation Island_1977,O'Brian_H.M.S. Surprise_1973,60,undirected
O'Brian_Desolation Island_1977,O'Brian_The Mauritius Command_1977,147,undirected
O'Brian_Desolation Island_1977,O'Brian_The Fortune of War_1979,179,undirected
O'Brian_Desolation Island_1977,Brontë_Jane Eyre_1847,28,undirected
O'Brian_Desolation Island_1977,Sabatini_The Sea Hawk_1915,2,undirected
O'Brian_The Fortune of War_1979,O'Brian_Master and Commander_1970,8,undirected
O'Brian_The Fortune of War_1979,O'Brian_Post Captain_1972,52,undirected
O'Brian_The Fortune of War_1979,O'Brian_H.M.S. Surprise_1973,12,undirected
O'Brian_The Fortune of War_1979,O'Brian_The Mauritius Command_1977,113,undirected
O'Brian_The Fortune of War_1979,O'Brian_Desolation Island_1977,179,undirected
O'Brian_The Fortune of War_1979,Brontë_Jane Eyre_1847,13,undirected
O'Brian_The Fortune of War_1979,Sabatini_Captain Blood_1922,8,undirected
O'Brian_The Fortune of War_1979,Sabatini_The Sea Hawk_1915,1,undirected
Austen_Northanger Abbey_1803,Austen_Sense & Sensibility_1811,104,undirected
Austen_Northanger Abbey_1803,Austen_Pride & Prejudice_1813,40,undirected
Austen_Northanger Abbey_1803,Austen_Mansfield Park_1814,78,undirected
Austen_Northanger Abbey_1803,Austen_Emma_1816,5,undirected
Austen_Northanger Abbey_1803,Austen_Persuasion_1818,6,undirected
Austen_Sense & Sensibility_1811,Austen_Northanger Abbey_1803,104,undirected
Austen_Sense & Sensibility_1811,Austen_Pride & Prejudice_1813,178,undirected
Austen_Sense & Sensibility_1811,Austen_Mansfield Park_1814,55,undirected
Austen_Sense & Sensibility_1811,Austen_Emma_1816,11,undirected
Austen_Sense & Sensibility_1811,Austen_Persuasion_1818,11,undirected
Austen_Sense & Sensibility_1811,Edgeworth_Fashionable Life_1809,14,undirected
Austen_Sense & Sensibility_1811,Burney_Camilla_1796,29,undirected
Austen_Pride & Prejudice_1813,Austen_Northanger Abbey_1803,40,undirected
Austen_Pride & Prejudice_1813,Austen_Sense & Sensibility_1811,178,undirected
Austen_Pride & Prejudice_1813,Austen_Mansfield Park_1814,72,undirected
Austen_Pride & Prejudice_1813,Austen_Emma_1816,66,undirected
Austen_Pride & Prejudice_1813,Austen_Persuasion_1818,17,undirected
Austen_Pride & Prejudice_1813,Edgeworth_Fashionable Life_1809,31,undirected
Austen_Pride & Prejudice_1813,Edgeworth_Belinda_1801,13,undirected
Austen_Pride & Prejudice_1813,Burney_Camilla_1796,1,undirected
Austen_Mansfield Park_1814,Austen_Northanger Abbey_1803,78,undirected
Austen_Mansfield Park_1814,Austen_Sense & Sensibility_1811,55,undirected
