person1,person2,interactions,avg_dist
Stephen,Jack,3291,134.8511090853844
Jack,Stephen,3281,127.6690033526364
Martin,Stephen,463,116.70194384449245
Pullings,Jack,442,142.8733031674208
Stephen,Martin,439,109.5125284738041
Jack,Pullings,400,116.44
Diana,Stephen,374,109.21122994652407
Jack,Killick,363,109.52892561983471
Killick,Jack,351,120.93162393162393
Stephen,Diana,336,104.75595238095238
Sophie,Jack,257,108.19455252918289
Killick,Stephen,245,104.88979591836734
Jack,Martin,240,132.39166666666668
Jack,Bonden,231,114.41991341991341
Stephen,Killick,229,88.82096069868996
Bonden,Jack,227,136.2863436123348
Jack,Sophie,226,109.71681415929204
Broke,Jack,212,143.8490566037736
Pullings,Stephen,211,130.46919431279622
Martin,Jack,208,133.38942307692307
Stephen,Pullings,207,99.33333333333333
Jack,Broke,198,153.2929292929293
Stephen,Sophie,192,97.33854166666667
Sophie,Stephen,171,94.85964912280701
Jack,Diana,161,97.06211180124224
Bonden,Stephen,152,100.03289473684211
Mowett,Jack,152,162.01315789473685
Jack,Mowett,150,143.29333333333332
Diana,Jack,148,107.75
Jack,Babbington,144,121.61805555555556
Babbington,Jack,138,138.4927536231884
Stephen,Bonden,133,98.54135338345864
Stephen,Wray,131,77.80152671755725
Wray,Stephen,122,73.55737704918033
Herapath,Stephen,119,94.01680672268908
Stephen,Herapath,116,78.97413793103448
Stephen,Broke,115,143.03478260869565
Blaine,Stephen,114,129.6315789473684
Broke,Stephen,111,164.73873873873873
Padeen,Stephen,109,95.05504587155963
Stephen,Blaine,109,121.1743119266055
Stephen,Padeen,109,84.33944954128441
Stephen,Reade,98,127.07142857142857
Fielding,Jack,94,148.89361702127658
Stephen,Mowett,93,104.63440860215054
Jack,Fielding,92,97.67391304347827
Harte,Jack,91,126.28571428571429
Reade,Jack,91,149.92307692307693
Reade,Stephen,91,146.6153846153846
Dundas,Jack,89,90.15730337078652
Wogan,Stephen,89,101.03370786516854
Jack,Dundas,87,100.02298850574712
Jack,Reade,86,109.4186046511628
Stephen,Jagiello,85,88.81176470588235
Stephen,Wogan,82,118.07317073170732
Graham,Stephen,79,108.79746835443038
Stephen,Babbington,79,119.67088607594937
Jagiello,Stephen,78,98.03846153846153
Stephen,Clarissa,76,90.92105263157895
Stephen,Graham,75,118.26666666666667
Jack,Graham,74,107.79729729729729
Jack,Harte,72,124.55555555555556
Mowett,Stephen,71,115.11267605633803
Clarissa,Stephen,70,87.62857142857143
Jagiello,Jack,69,98
Babbington,Stephen,67,153.71641791044777
Jack,Jagiello,67,97.98507462686567
Herapath,Jack,62,100.51612903225806
Killick,Bonden,62,74.64516129032258
Jack,Mrs_williams,61,109.18032786885246
Jack,Herapath,60,88.26666666666667
Diana,Sophie,59,92.69491525423729
Jack,Clarissa,59,110.37288135593221
Stephen,Johnson,58,101.06896551724138
Bonden,Killick,57,95.03508771929825
Graham,Jack,56,110.82142857142857
Mrs_williams,Stephen,55,98.2909090909091
Mrs_williams,Jack,53,99.37735849056604
George,Jack,52,133.53846153846155
Jack,George,52,121.26923076923077
Keith,Jack,50,178.9
Sophie,Diana,49,128.24489795918367
Dundas,Stephen,47,86.93617021276596
Johnson,Stephen,47,99.87234042553192
Emily,Sarah,46,56.28260869565217
Jack,Wray,45,77.46666666666667
Jack,Keith,44,104.1590909090909
Mowett,Pullings,44,93.5909090909091
Johnson,Jack,43,161.53488372093022
Martin,Pullings,43,82.86046511627907
Clarissa,Jack,42,102.16666666666667
Jack,Canning,42,91.71428571428571
Stephen,Dundas,42,98.61904761904762
Jack,Johnson,41,133.390243902439
Jack,Linois,41,134.90243902439025
Queenie,Jack,41,106.48780487804878
Jack,Queenie,40,115.8
Linois,Jack,40,143.75
Stephen,Canning,40,110.125
Stephen,Mrs_broad,40,80.2
Fielding,Stephen,38,115.05263157894737
Stephen,Mrs_williams,38,99.23684210526316
