Source,Target,Type,Weight,interactions,log_interactions,avg_dist
Jack,Stephen,Undirected,6572,6572,8.790573479157159,131.26005621901038
Martin,Stephen,Undirected,902,902,6.804614520062624,113.10723615914827
Jack,Pullings,Undirected,842,842,6.7357800142423265,129.6566515837104
Jack,Killick,Undirected,714,714,6.570882962339584,115.23027477572933
Diana,Stephen,Undirected,710,710,6.565264970035361,106.98359116373823
Jack,Sophie,Undirected,483,483,6.180016653652572,108.95568334423746
Killick,Stephen,Undirected,474,474,6.161207321695077,96.85537830852866
Bonden,Jack,Undirected,458,458,6.126869184114185,125.35312851612412
Jack,Martin,Undirected,448,448,6.104793232414985,132.89054487179487
Pullings,Stephen,Undirected,418,418,6.035481432524756,114.90126382306477
Broke,Jack,Undirected,410,410,6.016157159698354,148.57099294835143
Sophie,Stephen,Undirected,363,363,5.8944028342648505,96.09909539473685
Diana,Jack,Undirected,309,309,5.733341276897746,102.40605590062111
Jack,Mowett,Undirected,302,302,5.71042701737487,152.6532456140351
Bonden,Stephen,Undirected,285,285,5.652489180268651,99.28712406015038
Babbington,Jack,Undirected,282,282,5.641907070938114,130.055404589372
Stephen,Wray,Undirected,253,253,5.53338948872752,75.67945188336878
Herapath,Stephen,Undirected,235,235,5.459585514144159,86.49547232686177
Broke,Stephen,Undirected,226,226,5.420534999272286,153.8867606737172
Blaine,Stephen,Undirected,223,223,5.407171771460119,125.40294543698695
Padeen,Stephen,Undirected,218,218,5.384495062789089,89.69724770642202
Reade,Stephen,Undirected,189,189,5.241747015059643,136.8434065934066
Fielding,Jack,Undirected,186,186,5.225746673713202,123.28376503237743
Jack,Reade,Undirected,177,177,5.176149732573829,129.67084078711986
Dundas,Jack,Undirected,176,176,5.170483995038151,95.09014593826683
Stephen,Wogan,Undirected,171,171,5.14166355650266,109.55343929843792
Mowett,Stephen,Undirected,164,164,5.099866427824199,109.87354232924429
Harte,Jack,Undirected,163,163,5.093750200806762,125.42063492063492
Jagiello,Stephen,Undirected,163,163,5.093750200806762,93.42511312217195
Graham,Stephen,Undirected,154,154,5.0369526024136295,113.53206751054853
Babbington,Stephen,Undirected,146,146,4.983606621708336,136.69365199319856
Clarissa,Stephen,Undirected,146,146,4.983606621708336,89.2748120300752
Jack,Jagiello,Undirected,136,136,4.912654885736052,97.99253731343283
Graham,Jack,Undirected,130,130,4.867534450455582,109.30936293436292
Herapath,Jack,Undirected,122,122,4.804021044733257,94.39139784946236
Bonden,Killick,Undirected,119,119,4.77912349311153,84.8401245048104
Jack,Mrs_williams,Undirected,114,114,4.736198448394496,104.27884317970924
Diana,Sophie,Undirected,108,108,4.68213122712422,110.46990660671048
Johnson,Stephen,Undirected,105,105,4.653960350157523,100.47065297138664
George,Jack,Undirected,104,104,4.6443908991413725,127.40384615384616
Clarissa,Jack,Undirected,101,101,4.61512051684126,106.26977401129943
Jack,Keith,Undirected,94,94,4.543294782270004,141.52954545454546
Mrs_williams,Stephen,Undirected,93,93,4.532599493153256,98.76387559808613
Dundas,Stephen,Undirected,89,89,4.48863636973214,92.7776089159068
Jack,Johnson,Undirected,84,84,4.430816798843313,147.46256381168462
Jack,Wray,Undirected,83,83,4.418840607796598,87.36491228070176
Jack,Linois,Undirected,81,81,4.394449154672439,139.3262195121951
Jack,Queenie,Undirected,81,81,4.394449154672439,111.14390243902439
